date,Confirmed Cases,7-day Average
31-Dec-2019,0,0
01-Jan-2020,0,0
02-Jan-2020,0,0
03-Jan-2020,17,4
04-Jan-2020,0,4
05-Jan-2020,15,4
06-Jan-2020,0,4
07-Jan-2020,0,2
08-Jan-2020,0,2
09-Jan-2020,0,0
10-Jan-2020,0,0
11-Jan-2020,0,0
12-Jan-2020,0,0
13-Jan-2020,1,0
14-Jan-2020,0,1
15-Jan-2020,1,3
16-Jan-2020,0,22
17-Jan-2020,5,25
18-Jan-2020,17,47
19-Jan-2020,136,70
20-Jan-2020,20,84
21-Jan-2020,153,125
22-Jan-2020,163,193
23-Jan-2020,98,271
24-Jan-2020,288,384
25-Jan-2020,493,740
26-Jan-2020,684,801
27-Jan-2020,809,1083
28-Jan-2020,2651,1283
29-Jan-2020,588,1514
30-Jan-2020,2068,2095
31-Jan-2020,1693,2422
01-Feb-2020,2111,2616
02-Feb-2020,4749,3067
03-Feb-2020,3094,3226
04-Feb-2020,4011,3494
05-Feb-2020,3743,3583
06-Feb-2020,3182,3337
07-Feb-2020,3574,3268
08-Feb-2020,2729,2987
09-Feb-2020,3030,2512
10-Feb-2020,2612,4221
11-Feb-2020,2040,4642
12-Feb-2020,419,4558
13-Feb-2020,15147,4439
14-Feb-2020,6517,4356
15-Feb-2020,2145,4333
16-Feb-2020,2194,4345
17-Feb-2020,2034,2261
18-Feb-2020,1878,1419
19-Feb-2020,503,1364
20-Feb-2020,558,1105
21-Feb-2020,626,901
22-Feb-2020,1756,753
23-Feb-2020,386,822
24-Feb-2020,603,936
25-Feb-2020,845,1042
26-Feb-2020,982,1061
27-Feb-2020,1359,1343
28-Feb-2020,1366,1534
29-Feb-2020,1891,1775
01-Mar-2020,2358,1960
02-Mar-2020,1937,2161
03-Mar-2020,2534,2523
04-Mar-2020,2280,2830
05-Mar-2020,2762,3060
06-Mar-2020,3902,3322
07-Mar-2020,4037,3678
08-Mar-2020,3974,4392
09-Mar-2020,3766,4938
10-Mar-2020,5031,6201
11-Mar-2020,7273,7181
12-Mar-2020,6584,8364
13-Mar-2020,12744,9709
14-Mar-2020,10901,11221
15-Mar-2020,12252,12720
16-Mar-2020,13181,15751
17-Mar-2020,15615,18861
18-Mar-2020,17768,21871
19-Mar-2020,27798,25012
20-Mar-2020,34515,29324
21-Mar-2020,31969,33018
22-Mar-2020,34238,37763
23-Mar-2020,43368,42753
24-Mar-2020,41472,47106
25-Mar-2020,50984,52165
26-Mar-2020,62726,55760
27-Mar-2020,64991,58884
28-Mar-2020,67382,63935
29-Mar-2020,59399,67584
30-Mar-2020,65237,70242
31-Mar-2020,76829,72851
01-Apr-2020,76526,74704
02-Apr-2020,81331,76501
03-Apr-2020,83253,77643
04-Apr-2020,80354,77773
05-Apr-2020,71977,78845
06-Apr-2020,73234,79581
07-Apr-2020,77740,80193
08-Apr-2020,84031,79602
09-Apr-2020,86481,82942
10-Apr-2020,87540,82500
11-Apr-2020,76216,81587
12-Apr-2020,95353,81279
13-Apr-2020,70145,82770
14-Apr-2020,71346,82809
15-Apr-2020,81873,82406
16-Apr-2020,96921,80209
17-Apr-2020,87813,80831
18-Apr-2020,73394,81479
19-Apr-2020,79972,80928
20-Apr-2020,74503,79689
21-Apr-2020,75879,79171
22-Apr-2020,78019,80640
23-Apr-2020,88243,79529
24-Apr-2020,84187,78843
25-Apr-2020,83681,78788
26-Apr-2020,72191,78712
27-Apr-2020,69704,78021
28-Apr-2020,75492,78454
29-Apr-2020,77489,77959
30-Apr-2020,83404,78583
01-May-2020,87217,79640
02-May-2020,80220,80360
03-May-2020,76559,82141
04-May-2020,77100,82951
05-May-2020,80532,83532
06-May-2020,89958,84205
07-May-2020,89076,84013
08-May-2020,91280,83987
09-May-2020,84935,84525
10-May-2020,75215,83795
11-May-2020,76919,84894
12-May-2020,84293,85629
13-May-2020,84848,86956
14-May-2020,96771,87273
15-May-2020,96425,88961
16-May-2020,94227,90807
17-May-2020,77429,93374
18-May-2020,88734,94779
19-May-2020,97221,96160
20-May-2020,102815,97654
21-May-2020,106605,100103
22-May-2020,106092,99771
23-May-2020,104688,99212
24-May-2020,94566,99247
25-May-2020,86410,101101
26-May-2020,93314,103237
27-May-2020,103060,107856
28-May-2020,119583,109583
29-May-2020,121043,110895
30-May-2020,137018,114914
31-May-2020,106659,117073
01-Jun-2020,95594,118176
02-Jun-2020,121442,119584
03-Jun-2020,118175,119281
04-Jun-2020,127303,120040
05-Jun-2020,130903,121031
06-Jun-2020,134894,121505
07-Jun-2020,111971,123848
08-Jun-2020,102531,125404
09-Jun-2020,124761,125075
10-Jun-2020,134576,125156
11-Jun-2020,138192,128126
12-Jun-2020,128604,130596
13-Jun-2020,135461,133045
14-Jun-2020,132762,134185
15-Jun-2020,119818,134501
16-Jun-2020,141902,141831
17-Jun-2020,142562,144955
18-Jun-2020,140403,144325
19-Jun-2020,179914,146913
20-Jun-2020,157328,150270
21-Jun-2020,128348,154329
22-Jun-2020,137939,159754
23-Jun-2020,165401,161400
24-Jun-2020,170970,164437
25-Jun-2020,178380,169230
26-Jun-2020,191439,171843
27-Jun-2020,178585,173110
28-Jun-2020,161896,179721
29-Jun-2020,156233,183973
30-Jun-2020,174268,185587
01-Jul-2020,217248,187778
02-Jul-2020,208147,190792
03-Jul-2020,202736,192137
04-Jul-2020,193919,197382
05-Jul-2020,182996,196690
06-Jul-2020,165649,199543
07-Jul-2020,210980,203769
08-Jul-2020,212406,206983
09-Jul-2020,228118,208361
10-Jul-2020,232316,212171
11-Jul-2020,216417,213651
12-Jul-2020,192645,216339
13-Jul-2020,192316,219849
14-Jul-2020,221339,221270
15-Jul-2020,231227,224196
16-Jul-2020,252684,227276
17-Jul-2020,242265,229335
18-Jul-2020,236900,231093
19-Jul-2020,214202,238182
20-Jul-2020,206732,242529
21-Jul-2020,233642,248004
22-Jul-2020,280851,250694
23-Jul-2020,283112,250553
24-Jul-2020,280595,253350
25-Jul-2020,255726,256040
26-Jul-2020,213218,257306
27-Jul-2020,226306,256921
28-Jul-2020,252473,258311
29-Jul-2020,289713,257587
30-Jul-2020,280421,259763
31-Jul-2020,290323,256225
01-Aug-2020,250661,257112
02-Aug-2020,228447,254624
03-Aug-2020,201539,255262
04-Aug-2020,258682,253942
05-Aug-2020,272295,255197
06-Aug-2020,284888,254509
07-Aug-2020,281085,258194
08-Aug-2020,259446,257683
09-Aug-2020,223628,258510
10-Aug-2020,227340,258699
11-Aug-2020,255104,262038
12-Aug-2020,278080,260384
13-Aug-2020,286213,258731
14-Aug-2020,304460,256261
15-Aug-2020,247866,256443
16-Aug-2020,212057,255946
17-Aug-2020,210051,253249
18-Aug-2020,256379,248306
19-Aug-2020,274599,250825
20-Aug-2020,267336,249907
21-Aug-2020,269860,252244
22-Aug-2020,265497,250189
23-Aug-2020,205628,252246
24-Aug-2020,226413,253949
25-Aug-2020,241990,255637
26-Aug-2020,289002,254994
27-Aug-2020,279254,257961
28-Aug-2020,281678,263122
29-Aug-2020,260998,266309
30-Aug-2020,226397,265422
31-Aug-2020,262536,265661
01-Sep-2020,264303,270113
02-Sep-2020,282793,270447
03-Sep-2020,280924,269839
04-Sep-2020,312845,265735
05-Sep-2020,263335,262465
06-Sep-2020,222143,262693
07-Sep-2020,233807,265317
08-Sep-2020,241409,266327
09-Sep-2020,284388,268319
10-Sep-2020,299294,270327
11-Sep-2020,319917,276891
12-Sep-2020,277277,282957
13-Sep-2020,236197,285892
14-Sep-2020,279756,287963
15-Sep-2020,283875,288472
16-Sep-2020,304933,289028
17-Sep-2020,313787,289688
18-Sep-2020,323480,292492
19-Sep-2020,281171,291835
20-Sep-2020,240819,286429
21-Sep-2020,299382,293179
22-Sep-2020,279277,294165
23-Sep-2020,267088,293639
24-Sep-2020,361039,293559
25-Sep-2020,330384,290375
26-Sep-2020,277486,291058
27-Sep-2020,240257,299621
28-Sep-2020,277095,293387
29-Sep-2020,284057,288404
30-Sep-2020,327035,294480
01-Oct-2020,317399,295564
02-Oct-2020,295501,303126
03-Oct-2020,320022,308740
04-Oct-2020,247840,311914
05-Oct-2020,330029,317930
06-Oct-2020,323356,327272
07-Oct-2020,349254,328824
08-Oct-2020,359509,331773
09-Oct-2020,360896,331230
10-Oct-2020,330887,331955
11-Oct-2020,268482,336442
12-Oct-2020,326230,343184
13-Oct-2020,328433,350391
14-Oct-2020,380658,351938
15-Oct-2020,406705,354272
16-Oct-2020,411346,370511
17-Oct-2020,341716,379011
18-Oct-2020,284822,388031
19-Oct-2020,439898,396885
20-Oct-2020,387938,409260
21-Oct-2020,443792,419399
22-Oct-2020,468688,429044
23-Oct-2020,497969,443039
24-Oct-2020,412687,454326
25-Oct-2020,352338,463647
26-Oct-2020,537866,475135
27-Oct-2020,466947,485534
28-Oct-2020,509035,494667
29-Oct-2020,549106,505943
30-Oct-2020,570759,501829
31-Oct-2020,476619,503982
01-Nov-2020,431273,516621
02-Nov-2020,509066,522379
03-Nov-2020,482017,532660